Subset,n,Gold_Median_Len,Gold_Mean_Len,Pred_Median_Len,Pred_Mean_Len,Pred_vs_Gold_Median_%,Baseline_ROUGE1,Baseline_ROUGEL,Baseline_Combined_Score,Truncated_ROUGE1,Truncated_ROUGEL,Truncated_Combined_Score,Length_Adjustment_Gain,Length_Adjustment_Gain_%
Aka_Gha,223,101.0,105.69506726457399,99.0,106.90582959641256,-1.980198019801982,0.395186894297037,0.22117736962175116,0.22805477764995163,0.3913077395362637,0.2223491534802068,0.22705305041609408,-0.0010017272338575522,-0.43924851922862784
Amh_Eth,92,20.0,20.91304347826087,18.0,19.206521739130434,-9.999999999999998,0.016304347826086956,0.016304347826086956,0.012065217391304348,0.018115942028985508,0.018115942028985508,0.013405797101449275,0.001340579710144927,11.111111111111105
Eng_Eth,196,25.0,24.403061224489797,24.0,24.6734693877551,-4.0000000000000036,0.6356121061412096,0.6073333025302717,0.459889801208448,0.6112538254172367,0.5822690769806618,0.44160347388722243,-0.018286327321225593,-3.9762411067118224
Eng_Gha,222,66.0,71.3963963963964,69.0,73.84684684684684,4.545454545454541,0.3720279621010353,0.23187497654180134,0.22344408729784954,0.3613872083123649,0.2296338282658956,0.2186777835339564,-0.004766303763893143,-2.1331080278439813
Eng_Ken,104,63.5,78.41346153846153,61.5,77.52884615384616,-3.149606299212604,0.8115653490548531,0.7863564799789207,0.5912310767424963,0.7078720650865871,0.6823724892470521,0.5143904851034464,-0.07684059163904988,-12.996710535315263
Eng_Uga,381,73.0,95.89501312335958,73.0,94.14960629921259,0.0,0.7776710484184625,0.7419205551035032,0.5622488933031273,0.6676442138297957,0.6338448026612943,0.4815509361017033,-0.08069795720142403,-14.352710723419253
Lug_Uga,169,68.0,79.57988165680473,62.0,73.92307692307692,-8.823529411764708,0.4332438580058008,0.3826714092443874,0.3018886488825696,0.3956671087558826,0.3491569314998703,0.27558489489462856,-0.026303753987941048,-8.713064928179142
Swa_Ken,104,65.5,85.91346153846153,65.0,86.26923076923077,-0.7633587786259555,0.8162012394395121,0.7898768604790228,0.5942488969698579,0.7008577380461458,0.6767298168461161,0.5097073953101369,-0.08454150165972107,-14.22661482264548
