Subset,Gold Median Len,Current Pred Len,Optimal Len,Baseline Score,Optimized Score,Gain
Aka_Gha,101.0,106.90582959641256,121,0.22805477764995163,0.2286021429995061,0.0005473653495544628
Amh_Eth,20.0,19.206521739130434,14,0.012065217391304348,0.013405797101449275,0.001340579710144927
Eng_Eth,25.0,24.6734693877551,30,0.459889801208448,0.45340857830597014,-0.006481222902477879
Eng_Gha,66.0,73.84684684684684,79,0.22344408729784954,0.2222516462749466,-0.0011924410229029458
Eng_Ken,63.5,77.52884615384616,78,0.5912310767424963,0.5397301553292667,-0.051500921413229594
Eng_Uga,73.0,94.14960629921259,95,0.5622488933031273,0.5108218415133347,-0.05142705178979268
Lug_Uga,68.0,73.92307692307692,81,0.3018886488825696,0.28429299418593196,-0.017595654696637653
Swa_Ken,65.5,86.26923076923077,85,0.5942488969698579,0.5373618228480844,-0.05688707412177352
